Verification log – 2026-05-29 05:07:46 UTC
Execution time: 42.9s
Total proxies tested: 225
Working proxies found: 72
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
2026-05-29T05:07:42.200548  73727676136653270.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.201423  r19.proxytg.space:8443         OK     0.309s   eu
2026-05-29T05:07:42.201952  87.248.129.132:16              OK     0.125s   eu
2026-05-29T05:07:42.203558  937627877.ir.fulle7.info:8443  FAIL   -        eu
2026-05-29T05:07:42.207365  91.107.255.20:2053             FAIL   -        eu
2026-05-29T05:07:42.207812  r18.proxytg.space:8443         OK     0.311s   eu
2026-05-29T05:07:42.207956  7372377377.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.211707  195.254.165.23:9443            OK     0.129s   eu
2026-05-29T05:07:42.215319  r22.proxytg.space:8443         OK     0.31s    eu
2026-05-29T05:07:42.223519  87.248.129.5:8443              FAIL   -        eu
2026-05-29T05:07:42.236296  www.humaontop.space:443        FAIL   -        eu
2026-05-29T05:07:42.236766  17726737471.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.243766  776.ir.fulle7.info:8443        FAIL   -        eu
2026-05-29T05:07:42.249673  8772773737.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.251355  177267374371.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.256661  85.192.31.18:443               OK     0.157s   ru
2026-05-29T05:07:42.257016  111137277.ir.fulldf.info:8443  FAIL   -        eu
2026-05-29T05:07:42.259300  Ashkoda-Best.gabrial-batistuta.shop:443 FAIL   -        eu
2026-05-29T05:07:42.294473  mt.corph.ru:443                OK     0.236s   eu
2026-05-29T05:07:42.306789  bomberoo.shop:25565            OK     0.057s   eu
2026-05-29T05:07:42.308642  iranroad.shop:25565            OK     0.065s   eu
2026-05-29T05:07:42.312755  87.248.129.13:15               OK     0.129s   eu
2026-05-29T05:07:42.315059  195.254.165.4:8443             OK     0.124s   eu
2026-05-29T05:07:42.330569  r15.proxytg.space:8443         OK     0.313s   eu
2026-05-29T05:07:42.331074  195.254.165.12:4455            OK     0.129s   eu
2026-05-29T05:07:42.337902  195.254.165.71:9443            FAIL   -        eu
2026-05-29T05:07:42.339357  178.105.168.17:443             OK     0.139s   eu
2026-05-29T05:07:42.340414  37.27.23.25:155                OK     0.15s    eu
2026-05-29T05:07:42.345537  r24.proxytg.space:8443         OK     0.305s   eu
2026-05-29T05:07:42.345797  87.248.129.199:25565           FAIL   -        eu
2026-05-29T05:07:42.355440  Q4.opt-meli.info:443           OK     0.185s   eu
2026-05-29T05:07:42.358313  ams1.tlgfast.com:443           OK     0.155s   eu
2026-05-29T05:07:42.360271  9376327363678677.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.375169  r23.proxytg.space:8443         OK     0.307s   eu
2026-05-29T05:07:42.386927  37.27.17.91:155                OK     0.151s   eu
2026-05-29T05:07:42.388792  87.248.129.4:8443              OK     0.129s   eu
2026-05-29T05:07:42.391841  23.88.51.230:443               OK     0.135s   eu
2026-05-29T05:07:42.405156  nitro.proxytune.info.:443      OK     0.216s   eu
2026-05-29T05:07:42.414181  7372767170.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.423780  94.183.219.141:443             OK     0.129s   eu
2026-05-29T05:07:42.428714  gov.chunkycorp.shop:443        FAIL   -        ru
2026-05-29T05:07:42.439388  195.254.165.99:8443            FAIL   -        eu
2026-05-29T05:07:42.439608  Komatso-Japan.www.google.com.ganool-com.info:300 FAIL   -        eu
2026-05-29T05:07:42.439623  87.248.132.2:443               FAIL   -        eu
2026-05-29T05:07:42.445321  fav.dynme.ovh:9444             OK     0.543s   eu
2026-05-29T05:07:42.445451  7337727,776.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.447533  thisis.tproxy.store:8443       OK     0.428s   eu
2026-05-29T05:07:42.470769  195.254.165.4:8443             OK     0.125s   eu
2026-05-29T05:07:42.496462  tg.capycore.ru:443             OK     0.422s   eu
2026-05-29T05:07:42.513129  737237777.ir.fulle7.info:8443  FAIL   -        eu
2026-05-29T05:07:42.528717  178.105.244.106:61016          OK     0.137s   eu
2026-05-29T05:07:42.550058  elevenproxy.pro:444            OK     0.163s   eu
2026-05-29T05:07:42.550552  Shoting.forwarding-co.site.:44300 FAIL   -        eu
2026-05-29T05:07:42.550990  syntax.ddnscdn.sbs.:443        OK     0.205s   eu
2026-05-29T05:07:42.560134  186.246.21.40:443              FAIL   -        eu
2026-05-29T05:07:42.572347  177267636667246371.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:42.593174  r10.proxytg.space:8443         FAIL   -        eu
2026-05-29T05:07:42.602702  s13.neo-trading.org:993        OK     0.272s   eu
2026-05-29T05:07:42.632468  194.5.205.10:443               FAIL   -        eu
2026-05-29T05:07:42.646215  r21.proxytg.space:8443         OK     0.315s   eu
2026-05-29T05:07:42.646855  r20.proxytg.space:8443         OK     0.307s   eu
2026-05-29T05:07:42.658704  r16.proxytg.space:8443         OK     0.3s     eu
2026-05-29T05:07:42.682962  best-ruter.eyvazi-master.ir:9741 FAIL   -        eu
2026-05-29T05:07:42.683102  free.proproxies.top:443        OK     0.238s   eu
2026-05-29T05:07:43.889970  138.199.215.229:7443           FAIL   -        eu
2026-05-29T05:07:43.890248  91.239.192.154:7443            FAIL   -        eu
2026-05-29T05:07:43.891173  49.13.35.164:8443              FAIL   -        eu
2026-05-29T05:07:43.892163  91.107.174.85:8443             FAIL   -        eu
2026-05-29T05:07:43.893187  93.183.88.188:443              FAIL   -        eu
2026-05-29T05:07:43.893485  185.3.200.172:2053             FAIL   -        eu
2026-05-29T05:07:43.893979  195.254.165.211:4455           FAIL   -        eu
2026-05-29T05:07:43.893992  195.254.165.253:25565          FAIL   -        eu
2026-05-29T05:07:43.894123  37.27.23.200:8443              FAIL   -        eu
2026-05-29T05:07:43.897144  89.251.10.2:7443               FAIL   -        eu
2026-05-29T05:07:43.898110  163.5.31.10:8443               FAIL   -        eu
2026-05-29T05:07:43.899176  176.108.240.116:8888           FAIL   -        eu
2026-05-29T05:07:43.899281  185.84.157.102:9443            FAIL   -        eu
2026-05-29T05:07:43.899291  65.109.146.207:443             FAIL   -        eu
2026-05-29T05:07:43.900180  152.232.8.182:443              FAIL   -        eu
2026-05-29T05:07:43.900190  195.254.165.251:25565          FAIL   -        eu
2026-05-29T05:07:43.901115  195.254.165.185:15             FAIL   -        eu
2026-05-29T05:07:43.903121  194.156.103.87:443             FAIL   -        eu
2026-05-29T05:07:43.904110  176.65.131.45:25565            FAIL   -        eu
2026-05-29T05:07:43.909104  www.merco-karco.website:443    FAIL   -        eu
2026-05-29T05:07:43.909781  185.117.0.248:443              FAIL   -        eu
2026-05-29T05:07:43.922931  collider.web-yektanet-com.info:443 FAIL   -        eu
2026-05-29T05:07:43.927136  general.irancell-ir.cfd:443    FAIL   -        eu
2026-05-29T05:07:43.936186  new.sitemcinet.co.uk:443       FAIL   -        eu
2026-05-29T05:07:43.938127  www.qatar-railways.info.:443   FAIL   -        eu
2026-05-29T05:07:43.951187  Masi.zban-df.info:8888         FAIL   -        eu
2026-05-29T05:07:43.978436  195.254.165.249:25565          FAIL   -        eu
2026-05-29T05:07:43.985168  khoda.hafez.info:443           FAIL   -        eu
2026-05-29T05:07:43.987239  tavakalta-alalah.info:443      FAIL   -        eu
2026-05-29T05:07:44.014592  5.75.218.189:8443              FAIL   -        eu
2026-05-29T05:07:44.014818  195.254.165.252:25565          FAIL   -        eu
2026-05-29T05:07:44.019867  87.248.132.38:85               FAIL   -        eu
2026-05-29T05:07:44.026631  195.254.165.250:25565          FAIL   -        eu
2026-05-29T05:07:44.028111  87.248.132.34:70               FAIL   -        eu
2026-05-29T05:07:44.029275  212.34.135.78:443              FAIL   -        eu
2026-05-29T05:07:44.029287  91.107.155.175:2053            FAIL   -        eu
2026-05-29T05:07:44.032259  app.aftabneta2.ir:85           FAIL   -        eu
2026-05-29T05:07:44.040444  195.62.32.87:25565             FAIL   -        eu
2026-05-29T05:07:44.046622  dns.vdl.lat:853                FAIL   -        ru
2026-05-29T05:07:44.058374  vaslshid.co.uk.:85             FAIL   -        eu
2026-05-29T05:07:44.058468  sitemcinet.co.uk:443           FAIL   -        eu
2026-05-29T05:07:44.068477  sabr.ssboriat.co.uk:531        FAIL   -        eu
2026-05-29T05:07:44.069312  iran.zibayi.shop.:888          FAIL   -        eu
2026-05-29T05:07:44.069353  VIP.alotaxi.info:4515          FAIL   -        eu
2026-05-29T05:07:44.070118  paitakht.arasto.info:443       FAIL   -        eu
2026-05-29T05:07:44.072124  186.246.21.31:443              FAIL   -        ru
2026-05-29T05:07:44.077117  178.105.195.36:8443            FAIL   -        eu
2026-05-29T05:07:44.078192  reboot.tikla.info:443          FAIL   -        eu
2026-05-29T05:07:44.078206  www.myssscript.beauty.:8888    FAIL   -        eu
2026-05-29T05:07:44.080130  77.73.135.70:443               FAIL   -        ru
2026-05-29T05:07:44.084112  194.120.230.106:433            FAIL   -        eu
2026-05-29T05:07:44.085154  www.beastmode.icu.:8888        FAIL   -        eu
2026-05-29T05:07:44.087096  195.254.165.247:25565          FAIL   -        eu
2026-05-29T05:07:44.089125  46.225.29.180:443              FAIL   -        eu
2026-05-29T05:07:44.090152  www.lastingg.baby.:8888        FAIL   -        eu
2026-05-29T05:07:44.090221  91.239.192.153:9443            FAIL   -        eu
2026-05-29T05:07:44.092119  185.3.200.186:2054             FAIL   -        eu
2026-05-29T05:07:44.092187  91.107.182.200:8443            FAIL   -        eu
2026-05-29T05:07:44.097133  World-press.Online-shop.speeker-voice.avadox-zhoan.info:144 FAIL   -        eu
2026-05-29T05:07:44.101237  62.238.26.157:8443             FAIL   -        eu
2026-05-29T05:07:44.111241  iran.quickdl.info.:443         FAIL   -        eu
2026-05-29T05:07:44.130780  195.254.165.233:65535          FAIL   -        eu
2026-05-29T05:07:44.157967  116.203.134.165:443            FAIL   -        eu
2026-05-29T05:07:44.169540  45.82.65.142:443               FAIL   -        eu
2026-05-29T05:07:44.180280  185.3.200.185:2053             FAIL   -        eu
2026-05-29T05:07:44.192382  65.109.215.115:8443            FAIL   -        eu
2026-05-29T05:07:44.210238  178.105.245.72:8443            FAIL   -        eu
2026-05-29T05:07:44.213166  185.3.200.136:4455             FAIL   -        eu
2026-05-29T05:07:44.215701  tee.mobemouy.com:443           FAIL   -        eu
2026-05-29T05:07:44.225165  91.107.162.48:443              FAIL   -        eu
2026-05-29T05:07:44.248949  dd.tgproxy.today:8080          FAIL   -        eu
2026-05-29T05:07:44.259306  51.120.71.120:443              FAIL   -        eu
2026-05-29T05:07:44.266741  3.masi.masi.zban-mas.info:8888 FAIL   -        eu
2026-05-29T05:07:44.309264  5.75.197.246:443               FAIL   -        eu
2026-05-29T05:07:44.311358  yazdan.htop.info:443           FAIL   -        eu
2026-05-29T05:07:44.314986  185.3.200.191:2053             FAIL   -        eu
2026-05-29T05:07:44.340283  176.65.135.65:23               FAIL   -        eu
2026-05-29T05:07:44.342598  87.248.132.99:8443             FAIL   -        eu
2026-05-29T05:07:44.426058  62.238.39.116:4443             FAIL   -        eu
2026-05-29T05:07:44.476663  total.beyondeson-co.cfd:443    FAIL   -        eu
2026-05-29T05:07:44.498804  186.246.21.188:443             FAIL   -        eu
2026-05-29T05:07:44.515417  195.254.165.168:9443           FAIL   -        eu
2026-05-29T05:07:45.226151  proxymtproto.tproxy.rest:8443  FAIL   -        eu
2026-05-29T05:07:45.594341  new.tproxy.rest:8443           FAIL   -        eu
2026-05-29T05:07:46.059689  hotmtpro.duckdns.org:443       OK     4.164s   eu
2026-05-29T05:07:46.386315  amorecoin.duckdns.org:443      OK     3.915s   eu
------------------------------------------------------------

Top 20 fastest proxies:
  172.65.234.91:9443 | ping=0.018s | eu | zmvr#ipkgbuild.org
  172.65.38.26:9443 | ping=0.018s | eu | zmvr#ipkgbuild.org
  172.65.114.183:25565 | ping=0.018s | eu | 
  5.78.133.252:8443 | ping=0.029s | eu | 
  bomberoo.shop:25565 | ping=0.057s | eu | 
  mimecraft4ir.homes:25565 | ping=0.063s | eu | 
  iranroad.shop:25565 | ping=0.065s | eu | 
  2.26.146.71:8080 | ping=0.119s | eu | 
  87.248.129.210:4455 | ping=0.124s | eu | 
  195.254.165.4:8443 | ping=0.124s | eu | 
  87.248.129.130:15 | ping=0.125s | eu | 
  87.248.129.212:25565 | ping=0.125s | eu | 
  186.246.21.89:443 | ping=0.125s | eu | 
  195.254.165.23:8443 | ping=0.125s | eu | 
  87.248.129.132:16 | ping=0.125s | eu | 
  176.65.128.238:8443 | ping=0.126s | eu | 
  87.248.129.205:25565 | ping=0.126s | eu | 
  87.248.129.129:15 | ping=0.126s | eu | 
  37.49.226.110:15 | ping=0.127s | eu | 
  87.248.129.240:25565 | ping=0.129s | eu | 
